scenario,pv_kwp,battery_kwh,discount_rate,annual_savings,breakeven_eur_per_kwh
3-hour-battery,3.0,15.0,0.02,475.1969490426951,330.70700272439996
3-hour-battery,3.0,15.0,0.03,475.1969490426951,306.5671564059372
3-hour-battery,3.0,15.0,0.04,475.1969490426951,284.79789710051494
3-hour-battery,3.0,20.0,0.0,507.88079562152,311.9393303712504
3-hour-battery,3.0,20.0,0.01,507.88079562152,287.9737436559476
3-hour-battery,3.0,20.0,0.02,507.88079562152,266.46526020973477
3-hour-battery,3.0,20.0,0.03,507.88079562152,247.11512910235805
3-hour-battery,3.0,20.0,0.04,507.88079562152,229.66522423911843
3-hour-battery,3.0,25.0,0.0,531.0021757534769,261.6407506089488
3-hour-battery,3.0,25.0,0.01,531.0021757534769,241.59545053264065
3-hour-battery,3.0,25.0,0.02,531.0021757534769,223.60532118644997
3-hour-battery,3.0,25.0,0.03,531.0021757534769,207.4204812669833
3-hour-battery,3.0,25.0,0.04,531.0021757534769,192.82502890264303
3-hour-battery,3.0,30.0,0.0,551.8922602308651,227.1361480586855
3-hour-battery,3.0,30.0,0.01,551.8922602308651,209.77456513858135
3-hour-battery,3.0,30.0,0.02,551.8922602308651,194.19300132071444
3-hour-battery,3.0,30.0,0.03,551.8922602308651,180.17503006357458
3-hour-battery,3.0,30.0,0.04,551.8922602308651,167.53365500232408
3-hour-battery,6.0,2.5,0.0,180.98943028224858,786.3245834077069
3-hour-battery,6.0,2.5,0.01,180.98943028224858,718.0011827455586
3-hour-battery,6.0,2.5,0.02,180.98943028224858,656.682728514165
3-hour-battery,6.0,2.5,0.03,180.98943028224858,601.5175128146795
3-hour-battery,6.0,2.5,0.04,180.98943028224858,551.7696449385213
3-hour-battery,6.0,5.0,0.0,324.06542005124436,767.2071356559093
3-hour-battery,6.0,5.0,0.01,324.06542005124436,706.0398854458282
3-hour-battery,6.0,5.0,0.02,324.06542005124436,651.143887938126
3-hour-battery,6.0,5.0,0.03,324.06542005124436,601.756642589068
3-hour-battery,6.0,5.0,0.04,324.06542005124436,557.2193354247771
3-hour-battery,6.0,7.5,0.0,429.63529985350044,695.4662798394105
3-hour-battery,6.0,7.5,0.01,429.63529985350044,641.4039244029337
3-hour-battery,6.0,7.5,0.02,429.63529985350044,592.8843829962447
3-hour-battery,6.0,7.5,0.03,429.63529985350044,549.2337234861462
3-hour-battery,6.0,7.5,0.04,429.63529985350044,509.8696565740357
3-hour-battery,6.0,10.0,0.0,513.4128093287757,631.1098572808297
3-hour-battery,6.0,10.0,0.01,513.4128093287757,582.6566008915676
3-hour-battery,6.0,10.0,0.02,513.4128093287757,539.1710782818456
3-hour-battery,6.0,10.0,0.03,513.4128093287757,500.0492793937386
3-hour-battery,6.0,10.0,0.04,513.4128093287757,464.769328840018
3-hour-battery,6.0,12.5,0.0,582.9046427145954,577.5571352681476
3-hour-battery,6.0,12.5,0.01,582.9046427145954,533.5479051270194
3-hour-battery,6.0,12.5,0.02,582.9046427145954,494.0507791348311
3-hour-battery,6.0,12.5,0.03,582.9046427145954,458.5171457094586
3-hour-battery,6.0,12.5,0.04,582.9046427145954,426.47299472788706
3-hour-battery,6.0,15.0,0.0,642.5175055513286,533.2464268077349
3-hour-battery,6.0,15.0,0.01,642.5175055513286,492.82143173503175
3-hour-battery,6.0,15.0,0.02,642.5175055513286,456.541062401145
3-hour-battery,6.0,15.0,0.03,642.5175055513286,423.9013876890551
3-hour-battery,6.0,15.0,0.04,642.5175055513286,394.4670021889006
3-hour-battery,6.0,20.0,0.0,725.9011276787732,454.4324579994371
3-hour-battery,6.0,20.0,0.01,725.9011276787732,420.1790533184577
3-hour-battery,6.0,20.0,0.02,725.9011276787732,389.43752396183055
3-hour-battery,6.0,20.0,0.03,725.9011276787732,361.7808728092945
3-hour-battery,6.0,20.0,0.04,725.9011276787732,336.8401667867092
3-hour-battery,6.0,25.0,0.0,778.8307014428174,391.22081833101043
3-hour-battery,6.0,25.0,0.01,778.8307014428174,361.82000637217044
3-hour-battery,6.0,25.0,0.02,778.8307014428174,335.4335512924732
3-hour-battery,6.0,25.0,0.03,778.8307014428174,311.69494756767403
3-hour-battery,6.0,25.0,0.04,778.8307014428174,290.2875279339138
3-hour-battery,6.0,30.0,0.0,810.0972147526913,339.6407363287583
3-hour-battery,6.0,30.0,0.01,810.0972147526913,314.1564688715723
3-hour-battery,6.0,30.0,0.02,810.0972147526913,291.28500942210474
3-hour-battery,6.0,30.0,0.03,810.0972147526913,270.70867543412317
3-hour-battery,6.0,30.0,0.04,810.0972147526913,252.15298356143896
3-hour-battery,9.0,2.5,0.0,184.8563792525366,806.5433821942436
3-hour-battery,9.0,2.5,0.01,184.8563792525366,736.7602106304186
3-hour-battery,9.0,2.5,0.02,184.8563792525366,674.1316504272013
3-hour-battery,9.0,2.5,0.03,184.8563792525366,617.7877964298208
3-hour-battery,9.0,2.5,0.04,184.8563792525366,566.9770351782995
3-hour-battery,9.0,5.0,0.0,329.49328578694985,781.3972537559667
3-hour-battery,9.0,5.0,0.01,329.49328578694985,719.2054955267638
3-hour-battery,9.0,5.0,0.02,329.49328578694985,663.3900290308176
3-hour-battery,9.0,5.0,0.03,329.49328578694985,613.1755823815756
3-hour-battery,9.0,5.0,0.04,329.49328578694985,567.8923069387827
3-hour-battery,9.0,7.5,0.0,442.31098717744555,717.5583885839789
3-hour-battery,9.0,7.5,0.01,442.31098717744555,661.9010117101519
3-hour-battery,9.0,7.5,0.02,442.31098717744555,611.9499805348564
3-hour-battery,9.0,7.5,0.03,442.31098717744555,567.0114796587837
3-hour-battery,9.0,7.5,0.04,442.31098717744555,526.486040289273
3-hour-battery,9.0,10.0,0.0,537.3569740805304,662.4085796681175
3-hour-battery,9.0,10.0,0.01,537.3569740805304,611.6955963443826
3-hour-battery,9.0,10.0,0.02,537.3569740805304,566.1820282734562
3-hour-battery,9.0,10.0,0.03,537.3569740805304,525.2356960255634
3-hour-battery,9.0,10.0,0.04,537.3569740805304,488.3103853773088
3-hour-battery,9.0,12.5,0.0,623.0067325207372,619.4928365634045
3-hour-battery,9.0,12.5,0.01,623.0067325207372,572.4559034841084
