scenario,pv_kwp,battery_kwh,capex_per_kwh,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
base,12.0,10.0,400.0,557.424387359951,303.1016846037938,4400.0,2886.3978897423963,0.07511583807502856,8.507307407747412,15.0
base,12.0,15.0,100.0,726.8159469355913,282.59723994342926,1900.0,7600.607260950106,0.3597207610169606,2.6602893292717753,15.0
base,12.0,15.0,150.0,726.8159469355913,282.59723994342926,2650.0,6850.607260950104,0.24686980446228854,3.749730107284125,15.0
base,12.0,15.0,200.0,726.8159469355913,282.59723994342926,3400.0,6100.607260950104,0.18070044402141539,4.8633711797221055,15.0
base,12.0,15.0,250.0,726.8159469355913,282.59723994342926,4150.0,5350.607260950104,0.13604515810917625,6.002207206362996,15.0
base,12.0,15.0,300.0,726.8159469355913,282.59723994342926,4900.0,4600.607260950105,0.10323363587356647,7.170494885485574,15.0
base,12.0,15.0,350.0,726.8159469355913,282.59723994342926,5650.0,3850.6072609501057,0.07772766658475964,8.366475186577185,15.0
base,12.0,15.0,400.0,726.8159469355913,282.59723994342926,6400.0,3100.6072609501057,0.0570967986949068,9.591208330076748,15.0
base,12.0,20.0,100.0,868.6042197016028,265.7803182976403,2400.0,8953.999030128936,0.3385495486974673,2.8153410884260732,15.0
base,12.0,20.0,150.0,868.6042197016028,265.7803182976403,3400.0,7953.999030128935,0.22666443262351885,4.03548898183588,15.0
base,12.0,20.0,200.0,868.6042197016028,265.7803182976403,4400.0,6953.999030128935,0.16209423134608408,5.2894480062349505,15.0
base,12.0,20.0,250.0,868.6042197016028,265.7803182976403,5400.0,5953.999030128936,0.11879480915089397,6.574582580575409,15.0
base,12.0,20.0,300.0,868.6042197016028,265.7803182976403,6400.0,4953.999030128936,0.08706402442629092,7.892059404095014,15.0
base,12.0,20.0,350.0,868.6042197016028,265.7803182976403,7400.0,3953.999030128936,0.062423270445375684,9.24804062449619,15.0
base,12.0,20.0,400.0,868.6042197016028,265.7803182976403,8400.0,2953.999030128935,0.04249688016064447,10.641715003354545,15.0
base,12.0,30.0,100.0,1094.2908561056684,236.20976094397454,3400.0,10904.072023931702,0.297044962734085,3.177046775840321,15.0
base,12.0,30.0,150.0,1094.2908561056684,236.20976094397454,4900.0,9404.072023931702,0.19139942749205932,4.6463728630138466,15.0
base,12.0,30.0,200.0,1094.2908561056684,236.20976094397454,6400.0,7904.072023931702,0.13107833665639412,6.158781667998473,15.0
base,12.0,30.0,250.0,1094.2908561056684,236.20976094397454,7900.0,6404.072023931701,0.09070063588233204,7.720591510422549,15.0
base,12.0,30.0,300.0,1094.2908561056684,236.20976094397454,9400.0,4904.072023931702,0.06108287874112045,9.33274580790075,15.0
base,12.0,30.0,350.0,1094.2908561056684,236.20976094397454,10900.0,3404.072023931702,0.03804121596902911,10.99676435561842,15.0
