scenario,pv_kwp,battery_kwh,capex_per_kwh,discount_rate,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
efficient,3.0,2.5,200.0,0.04,185.0502694220811,355.90593841828843,900.0,919.3488475670775,0.17147087273278877,5.065916340192187,15.0
efficient,3.0,2.5,250.0,0.0,185.0502694220811,355.90593841828843,1025.0,1393.8928995362212,0.14244802996894573,5.813207617131717,15.0
efficient,3.0,2.5,250.0,0.01,185.0502694220811,355.90593841828843,1025.0,1219.251987071796,0.14244802996894573,5.813207617131717,15.0
efficient,3.0,2.5,250.0,0.02,185.0502694220811,355.90593841828843,1025.0,1062.5163636382956,0.14244802996894573,5.813207617131717,15.0
efficient,3.0,2.5,250.0,0.03,185.0502694220811,355.90593841828843,1025.0,921.5089853069013,0.14244802996894573,5.813207617131717,15.0
efficient,3.0,2.5,250.0,0.04,185.0502694220811,355.90593841828843,1025.0,794.3488475670778,0.14244802996894573,5.813207617131717,15.0
efficient,3.0,2.5,300.0,0.0,185.0502694220811,355.90593841828843,1150.0,1268.8928995362212,0.1188691063463738,6.571937647011477,15.0
efficient,3.0,2.5,300.0,0.01,185.0502694220811,355.90593841828843,1150.0,1094.251987071796,0.1188691063463738,6.571937647011477,15.0
efficient,3.0,2.5,300.0,0.02,185.0502694220811,355.90593841828843,1150.0,937.5163636382954,0.1188691063463738,6.571937647011477,15.0
efficient,3.0,2.5,300.0,0.03,185.0502694220811,355.90593841828843,1150.0,796.5089853069014,0.1188691063463738,6.571937647011477,15.0
efficient,3.0,2.5,300.0,0.04,185.0502694220811,355.90593841828843,1150.0,669.3488475670778,0.1188691063463738,6.571937647011477,15.0
efficient,3.0,2.5,350.0,0.0,185.0502694220811,355.90593841828843,1275.0,1143.8928995362214,0.09919146264187695,7.341305884017886,15.0
efficient,3.0,2.5,350.0,0.01,185.0502694220811,355.90593841828843,1275.0,969.2519870717963,0.09919146264187695,7.341305884017886,15.0
efficient,3.0,2.5,350.0,0.02,185.0502694220811,355.90593841828843,1275.0,812.5163636382952,0.09919146264187695,7.341305884017886,15.0
efficient,3.0,2.5,350.0,0.03,185.0502694220811,355.90593841828843,1275.0,671.5089853069013,0.09919146264187695,7.341305884017886,15.0
efficient,3.0,2.5,350.0,0.04,185.0502694220811,355.90593841828843,1275.0,544.3488475670778,0.09919146264187695,7.341305884017886,15.0
efficient,3.0,2.5,400.0,0.0,185.0502694220811,355.90593841828843,1400.0,1018.8928995362214,0.08241990537720761,8.12184702797124,15.0
efficient,3.0,2.5,400.0,0.01,185.0502694220811,355.90593841828843,1400.0,844.2519870717961,0.08241990537720761,8.12184702797124,15.0
efficient,3.0,2.5,400.0,0.02,185.0502694220811,355.90593841828843,1400.0,687.5163636382953,0.08241990537720761,8.12184702797124,15.0
efficient,3.0,2.5,400.0,0.03,185.0502694220811,355.90593841828843,1400.0,546.5089853069013,0.08241990537720761,8.12184702797124,15.0
efficient,3.0,2.5,400.0,0.04,185.0502694220811,355.90593841828843,1400.0,419.34884756707777,0.08241990537720761,8.12184702797124,15.0
efficient,3.0,5.0,100.0,0.0,310.9018157050647,308.8442199179533,900.0,3163.967033447415,0.3215514315828295,2.952524552158239,15.0
efficient,3.0,5.0,100.0,0.01,310.9018157050647,308.8442199179533,900.0,2870.553914130442,0.3215514315828295,2.952524552158239,15.0
efficient,3.0,5.0,100.0,0.02,310.9018157050647,308.8442199179533,900.0,2607.2233604202293,0.3215514315828295,2.952524552158239,15.0
efficient,3.0,5.0,100.0,0.03,310.9018157050647,308.8442199179533,900.0,2370.3177342465756,0.3215514315828295,2.952524552158239,15.0
efficient,3.0,5.0,100.0,0.04,310.9018157050647,308.8442199179533,900.0,2156.676771539067,0.3215514315828295,2.952524552158239,15.0
efficient,3.0,5.0,150.0,0.0,310.9018157050647,308.8442199179533,1150.0,2913.9670334474154,0.24267678327251352,3.805910975864989,15.0
efficient,3.0,5.0,150.0,0.01,310.9018157050647,308.8442199179533,1150.0,2620.553914130442,0.24267678327251352,3.805910975864989,15.0
efficient,3.0,5.0,150.0,0.02,310.9018157050647,308.8442199179533,1150.0,2357.2233604202293,0.24267678327251352,3.805910975864989,15.0
efficient,3.0,5.0,150.0,0.03,310.9018157050647,308.8442199179533,1150.0,2120.317734246576,0.24267678327251352,3.805910975864989,15.0
efficient,3.0,5.0,150.0,0.04,310.9018157050647,308.8442199179533,1150.0,1906.6767715390667,0.24267678327251352,3.805910975864989,15.0
efficient,3.0,5.0,200.0,0.0,310.9018157050647,308.8442199179533,1400.0,2663.967033447415,0.19000404488885803,4.673741108431008,15.0
efficient,3.0,5.0,200.0,0.01,310.9018157050647,308.8442199179533,1400.0,2370.553914130442,0.19000404488885803,4.673741108431008,15.0
efficient,3.0,5.0,200.0,0.02,310.9018157050647,308.8442199179533,1400.0,2107.2233604202293,0.19000404488885803,4.673741108431008,15.0
efficient,3.0,5.0,200.0,0.03,310.9018157050647,308.8442199179533,1400.0,1870.3177342465763,0.19000404488885803,4.673741108431008,15.0
efficient,3.0,5.0,200.0,0.04,310.9018157050647,308.8442199179533,1400.0,1656.6767715390672,0.19000404488885803,4.673741108431008,15.0
efficient,3.0,5.0,250.0,0.0,310.9018157050647,308.8442199179533,1650.0,2413.967033447415,0.15169680324079307,5.556665552540386,15.0
efficient,3.0,5.0,250.0,0.01,310.9018157050647,308.8442199179533,1650.0,2120.553914130442,0.15169680324079307,5.556665552540386,15.0
efficient,3.0,5.0,250.0,0.02,310.9018157050647,308.8442199179533,1650.0,1857.2233604202293,0.15169680324079307,5.556665552540386,15.0
efficient,3.0,5.0,250.0,0.03,310.9018157050647,308.8442199179533,1650.0,1620.3177342465763,0.15169680324079307,5.556665552540386,15.0
efficient,3.0,5.0,250.0,0.04,310.9018157050647,308.8442199179533,1650.0,1406.6767715390672,0.15169680324079307,5.556665552540386,15.0
efficient,3.0,5.0,300.0,0.0,310.9018157050647,308.8442199179533,1900.0,2163.967033447415,0.12219077798242772,6.455355450383327,15.0
efficient,3.0,5.0,300.0,0.01,310.9018157050647,308.8442199179533,1900.0,1870.553914130442,0.12219077798242772,6.455355450383327,15.0
