# run started 2026-08-16 14:16:15
# name	seconds	imported_kwh	annual_bill_eur	npv_eur
base|pv=09.0|bat=30.0             	  826.7	  1736.2	  -656.07	   788.51
small-connection|pv=00.0|bat=10.0 	  834.4	  6651.6	  1115.51	 -1437.62
base|pv=03.0|bat=12.5             	  835.2	  3583.6	   470.64	   596.13
high-mileage|pv=00.0|bat=05.0     	  840.6	  9321.1	  1784.41	  -371.08
slow-charger|pv=06.0|bat=25.0     	  831.9	  2261.9	  -154.43	    94.86
lossy|pv=06.0|bat=07.5            	  835.6	  3211.3	   286.25	  1745.47
efficient|pv=03.0|bat=10.0        	  832.2	  3467.1	   458.89	  1509.58
east-west|pv=03.0|bat=25.0        	  844.6	  4821.5	   524.20	 -4461.09
lossy|pv=03.0|bat=05.0            	  840.8	  4305.9	   715.42	  1025.08
lossy|pv=09.0|bat=02.5            	  835.8	  3943.8	   228.03	   829.21
high-mileage|pv=06.0|bat=12.5     	  833.7	  5088.1	   640.61	  2069.01
base|pv=06.0|bat=20.0             	  835.0	  2204.9	  -104.47	  1252.89
low-mileage|pv=06.0|bat=02.5      	  842.1	  2724.4	   165.39	  1055.12
small-connection|pv=03.0|bat=30.0 	  833.7	  4110.1	   392.69	 -5351.59
slow-charger|pv=03.0|bat=15.0     	  842.7	  3623.6	   457.31	   -44.59
low-mileage|pv=03.0|bat=07.5      	  846.8	  2338.2	   260.45	  1574.67
efficient|pv=00.0|bat=02.5        	  853.3	  6297.7	  1213.02	     1.51
efficient|pv=12.0|bat=20.0        	  800.9	  1285.4	  -851.80	  3509.39
high-mileage|pv=12.0|bat=15.0     	  797.1	  3759.2	   -96.55	  3241.20
lossy|pv=12.0|bat=10.0            	  802.9	  2261.4	  -386.05	  2218.10
efficient|pv=09.0|bat=12.5        	  801.7	  1823.2	  -326.66	  3266.19
base|pv=12.0|bat=25.0             	  801.4	  1378.9	  -914.01	  2538.28
slow-charger|pv=09.0|bat=20.0     	  807.7	  1609.1	  -472.04	  2679.14
slow-charger|pv=12.0|bat=30.0     	  802.8	  1373.5	 -1011.89	  2203.71
high-mileage|pv=00.0|bat=15.0     	  815.8	  9651.8	  1656.81	 -2703.13
low-mileage|pv=12.0|bat=07.5      	  801.3	  1236.3	  -649.19	  2536.56
high-mileage|pv=09.0|bat=05.0     	  802.8	  5530.8	   590.44	  1956.63
high-mileage|pv=09.0|bat=10.0     	  811.3	  4710.9	   381.72	  2684.93
base|pv=09.0|bat=15.0             	  808.5	  1770.5	  -355.67	  2861.77
efficient|pv=12.0|bat=05.0        	  808.2	  2691.9	  -293.94	  2217.29
east-west|pv=09.0|bat=30.0        	  808.5	  2470.8	  -334.11	 -1719.18
efficient|pv=00.0|bat=20.0        	  816.1	  6897.7	   952.88	 -3598.07
slow-charger|pv=00.0|bat=30.0     	  820.2	  7492.6	   968.27	 -7328.24
lossy|pv=00.0|bat=10.0            	  820.5	  7008.2	  1208.13	 -2052.83
east-west|pv=03.0|bat=12.5        	  815.9	  4249.5	   606.95	  -542.77
small-connection|pv=06.0|bat=25.0 	  802.4	  2170.5	  -143.20	  -200.95
base|pv=06.0|bat=10.0             	  805.7	  2626.1	   115.31	  2380.09
slow-charger|pv=00.0|bat=05.0     	  819.5	  6495.0	  1201.06	  -371.08
efficient|pv=06.0|bat=07.5        	  816.2	  2788.5	   161.47	  2543.81
efficient|pv=09.0|bat=02.5        	  810.2	  3602.0	   136.54	  1211.46
slow-charger|pv=06.0|bat=12.5     	  809.4	  2364.7	    54.09	  2369.20
efficient|pv=03.0|bat=05.0        	  816.1	  3851.4	   600.08	  1663.97
low-mileage|pv=03.0|bat=25.0      	  822.5	  2864.7	   110.75	 -3468.50
high-mileage|pv=06.0|bat=02.5     	  808.2	  6535.6	  1029.50	   985.68
east-west|pv=06.0|bat=20.0        	  814.4	  2933.6	   125.01	  -604.16
lossy|pv=03.0|bat=30.0            	  822.8	  4485.2	   496.09	 -6107.93
small-connection|pv=03.0|bat=15.0 	  818.6	  3623.7	   455.21	  -168.83
high-mileage|pv=03.0|bat=07.5     	  817.0	  6552.3	  1157.23	  1466.88
base|pv=03.0|bat=02.5             	  824.4	  4432.8	   755.67	   870.41
