name,forecast,window_hours,pv_kwp,battery_kwh,annual_bill,imported_kwh,exported_kwh,curtailed_kwh,battery_discharge_kwh,cycles_per_year,self_consumption,self_sufficiency,annual_savings,npv
load-only|w=24.0|pv=12.0|bat=20.0,load-only,24.0,12.0,20.0,-790.8160812647884,1398.2957429527244,8646.680317308306,214.727321342511,5321.259252234424,266.0629626117212,0.5459767784487816,0.8972550598622613,867.7519678685394,2942.8587820544435
load-only|w=48.0|pv=00.0|bat=00.0,load-only,48.0,0.0,0.0,1278.2406360368796,6339.13043478261,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
load-only|w=48.0|pv=00.0|bat=05.0,load-only,48.0,0.0,5.0,1122.8690412530723,6493.996633474195,29.89271540121154,0.0,1178.7289094314021,235.74578188628044,NaN,0.3280468232822637,155.37159478380727,-369.0532276127294
load-only|w=48.0|pv=00.0|bat=10.0,load-only,48.0,0.0,10.0,1043.354637637909,6651.888732821972,117.42982833389905,0.0,1851.8866041967199,185.18866041967198,NaN,0.46468945919340315,234.88599839897051,-1329.6771331263474
load-only|w=48.0|pv=00.0|bat=15.0,load-only,48.0,0.0,15.0,988.0656283237911,6839.848984305917,257.4221746511603,0.0,2317.8202904832065,154.52135269888043,NaN,0.5051566619143996,290.17500771308846,-2606.9643671845224
load-only|w=48.0|pv=00.0|bat=20.0,load-only,48.0,0.0,20.0,941.34790078984,7085.354573999464,460.63488097614453,0.0,2731.223646792212,136.5611823396106,NaN,0.5289530340083141,336.8927352470396,-3996.2914956061036
load-only|w=48.0|pv=06.0|bat=00.0,load-only,48.0,6.0,0.0,540.1667733138262,4275.11800159182,4921.783889841644,198.02444170534366,0.0,NaN,0.2954584327610101,0.3152856896267605,0.0,NaN
load-only|w=48.0|pv=06.0|bat=05.0,load-only,48.0,6.0,5.0,225.38746053707172,3038.06122608035,3576.0030738212954,144.62544554585574,1522.6004163405257,304.52008326810517,0.5007979689762997,0.7209577266201557,314.77931277675447,1714.651910394499
load-only|w=48.0|pv=06.0|bat=10.0,load-only,48.0,6.0,10.0,46.453790817718414,2417.9019398501223,2878.0883362011227,103.0173253140921,2649.401681864546,264.94016818645457,0.6589755646559681,0.8156475178000736,493.71298249610777,2053.591402478571
load-only|w=48.0|pv=06.0|bat=15.0,load-only,48.0,6.0,15.0,-77.5095239675228,2183.4572557333145,2571.601501165652,82.69714011289192,3526.2684341535423,235.08456227690283,0.7772124720082255,0.831532123106506,617.676297281349,1673.9834336463648
load-only|w=48.0|pv=06.0|bat=20.0,load-only,48.0,6.0,20.0,-163.16482632876279,2178.5358749583393,2509.640622591046,72.48406047190493,4170.708958667976,208.53544793339879,0.8633990591309603,0.8349734647536666,703.331599642589,793.6305616202768
load-only|w=48.0|pv=12.0|bat=00.0,load-only,48.0,12.0,0.0,-16.83003740966319,3808.5583280617248,11387.627620553623,449.4418022010478,0.0,NaN,0.18181748762822406,0.3456899805482828,0.0,NaN
load-only|w=48.0|pv=12.0|bat=05.0,load-only,48.0,12.0,5.0,-352.641692765265,2401.389743956247,9883.44236132913,374.90103153739403,1609.9291776293137,321.98583552586274,0.30002448784437163,0.7638380113327046,335.81165535560183,1989.5771200873664
load-only|w=48.0|pv=12.0|bat=10.0,load-only,48.0,12.0,10.0,-565.6739170831797,1641.7012980736658,9041.296821438791,311.3862740996805,2983.0275974194683,298.30275974194683,0.4046352105261028,0.8829150404282742,548.8438796735165,2774.2373985312684
